from;to;energy-produced-Wh;has_image;is_first_with_image_that_day;is_last_with_image_that_day;atday
2024-02-12 07:50:00;2024-02-12 08:00:00;0.0;True;True;False;True
2024-02-12 08:00:00;2024-02-12 08:10:00;9.388000001509983;True;False;False;True
2024-02-12 08:10:00;2024-02-12 08:20:00;32.777333334088326;True;False;False;True
2024-02-12 08:20:00;2024-02-12 08:30:00;56.16666666666666;True;False;False;True
2024-02-12 08:30:00;2024-02-12 08:40:00;111.75466666618983;True;False;False;True
2024-02-12 08:40:00;2024-02-12 08:50:00;109.71166666597128;True;False;False;True
2024-02-12 08:50:00;2024-02-12 09:00:00;107.66866666575272;True;False;False;True
2024-02-12 09:00:00;2024-02-12 09:10:00;94.0860000004371;True;False;False;True
2024-02-12 09:10:00;2024-02-12 09:20:00;132.9573333337903;True;False;False;True
2024-02-12 09:20:00;2024-02-12 09:30:00;171.8286666671435;True;False;False;True
2024-02-12 09:30:00;2024-02-12 09:40:00;266.519333332777;True;False;False;True
2024-02-12 09:40:00;2024-02-12 09:50:00;265.4433333327373;True;False;False;True
2024-02-12 09:50:00;2024-02-12 10:00:00;264.3673333326976;True;False;False;True
2024-02-12 10:00:00;2024-02-12 10:10:00;289.9560000002384;True;False;False;True
2024-02-12 10:10:00;2024-02-12 10:20:00;367.0430000002185;True;False;False;True
2024-02-12 10:20:00;2024-02-12 10:30:00;444.13000000019866;True;False;False;True
2024-02-12 10:30:00;2024-02-12 10:40:00;488.3293333301942;True;False;False;True
2024-02-12 10:40:00;2024-02-12 10:50:00;533.9689999992648;True;False;False;True
2024-02-12 10:50:00;2024-02-12 11:00:00;579.6086666683356;True;False;False;True
2024-02-12 11:00:00;2024-02-12 11:10:00;590.4560000002384;True;False;False;True
2024-02-12 11:10:00;2024-02-12 11:20:00;717.9233333344262;True;False;False;True
2024-02-12 11:20:00;2024-02-12 11:30:00;845.3906666686138;True;False;False;True
2024-02-12 11:30:00;2024-02-12 11:40:00;552.6946666638056;True;False;False;True
2024-02-12 11:40:00;2024-02-12 11:50:00;439.056999998788;True;False;False;True
2024-02-12 11:50:00;2024-02-12 12:00:00;325.41933333377045;True;False;False;True
2024-02-12 12:00:00;2024-02-12 12:10:00;388.2926666686933;True;False;False;True
2024-02-12 12:10:00;2024-02-12 12:20:00;409.7986666659514;True;False;False;True
2024-02-12 12:20:00;2024-02-12 12:30:00;431.3046666632096;True;False;False;True
2024-02-12 12:30:00;2024-02-12 12:40:00;180.4373333354791;True;False;False;True
2024-02-12 12:40:00;2024-02-12 12:50:00;216.9666666686535;True;False;False;True
2024-02-12 12:50:00;2024-02-12 13:00:00;253.49600000182787;True;False;False;True
2024-02-12 13:00:00;2024-02-12 13:10:00;471.1159999966621;True;False;False;True
2024-02-12 13:10:00;2024-02-12 13:20:00;380.7386666660508;True;False;False;True
